num;coord_x;coord_y
954;331936.306;1221018
955;331933.432;1221021
956;331930.308;1221024
957;331927.185;1221027
958;331924.048;1221029
959;331920.851;1221032
960;331917.472;1221035
961;331913.924;1221037
962;331910.553;1221039
963;331907.053;1221042
964;331903.454;1221044
965;331899.837;1221046
966;331896.220;1221048
967;331892.499;1221050
968;331888.824;1221052
969;331885.051;1221055
970;331881.422;1221056
971;331877.629;1221058
972;331873.820;1221060
973;331869.974;1221062
974;331866.245;1221064
975;331862.428;1221066
976;331858.543;1221067
977;331854.840;1221069
978;331850.972;1221071
979;331847.104;1221073
980;331843.236;1221074
981;331839.350;1221076
982;331835.446;1221077
983;331831.405;1221079
984;331827.456;1221080
985;331823.531;1221081
986;331819.430;1221083
987;331815.455;1221084
988;331811.385;1221085
989;331807.342;1221086
990;331803.305;1221087
991;331799.210;1221088
992;331795.063;1221089
993;331791.079;1221090
994;331786.950;1221091
995;331782.893;1221093
996;331778.872;1221094
997;331774.724;1221095
998;331770.594;1221096
999;331766.465;1221097
1000;331762.499;1221098
1001;331758.387;1221099
1002;331754.258;1221100
1003;331750.235;1221101
1004;331746.199;1221102
1005;331742.070;1221103
1006;331737.940;1221104
1007;331733.974;1221106
1008;331729.844;1221107
1009;331725.752;1221108
1010;331721.730;1221109
1011;331717.672;1221110
1012;331713.598;1221111
1013;331709.431;1221112
1014;331705.447;1221113
1015;331701.311;1221114
1016;331697.297;1221115
1017;331693.130;1221116
1018;331689.056;1221117
1019;331684.961;1221118
1020;331680.940;1221119
1021;331676.791;1221120
1022;331672.642;1221121
1023;331668.621;1221122
1024;331664.436;1221122
1025;331660.384;1221123
1026;331656.265;1221124
1027;331652.062;1221125
1028;331648.058;1221126
1029;331643.872;1221127
1030;331639.667;1221127
1031;331635.580;1221128
1032;331631.457;1221128
1033;331627.271;1221129
1034;331623.083;1221130
1035;331618.877;1221130
1036;331614.745;1221130
1037;331610.666;1221131
1038;331606.477;1221131
1039;331602.271;1221131
1040;331598.082;1221132
1041;331593.875;1221132
1042;331589.668;1221132
1043;331585.461;1221132
1044;331581.253;1221132
1045;331577.045;1221132
1046;331572.991;1221132
