num;coord_y;coord_x
1203;1220971;330941
1204;1220972;330936
1205;1220974;330933
1206;1220976;330929
1207;1220977;330925
1208;1220979;330921
1209;1220982;330918
1210;1220984;330914
1211;1220986;330910
1212;1220989;330907
1213;1220991;330904
1214;1220994;330900
1215;1220997;330897
1216;1221000;330894
1217;1221003;330891
1218;1221005;330888
1219;1221008;330884
1220;1221011;330881
1221;1221014;330879
1222;1221017;330876
1223;1221020;330873
1224;1221023;330870
1225;1221027;330867
1226;1221030;330864
1227;1221033;330862
1228;1221036;330859
1229;1221040;330856
1230;1221043;330854
1231;1221046;330851
1232;1221049;330848
1233;1221053;330846
1234;1221056;330843
1235;1221059;330840
1236;1221062;330837
1237;1221066;330835
1238;1221069;330832
1239;1221072;330829
1240;1221075;330827
1241;1221079;330824
1242;1221082;330822
1243;1221085;330819
1244;1221089;330816
1245;1221092;330814
1246;1221095;330811
1247;1221098;330808
1248;1221101;330805
1249;1221104;330803
1250;1221107;330800
1251;1221110;330797
1252;1221113;330794
1253;1221116;330791
1254;1221119;330788
1255;1221122;330785
1256;1221125;330782
1257;1221128;330779
1258;1221131;330775
1259;1221133;330772
1260;1221136;330769
1261;1221139;330766
1262;1221141;330762
1263;1221144;330759
1264;1221146;330756
1265;1221148;330752
1266;1221151;330749
1267;1221153;330745
1268;1221156;330742
1269;1221158;330738
1270;1221160;330735
1271;1221162;330731
1272;1221165;330728
1273;1221167;330724
1274;1221169;330720
1275;1221172;330717
1276;1221174;330714
1277;1221176;330710
1278;1221179;330706
1279;1221181;330703
1280;1221183;330699
1281;1221186;330696
1282;1221188;330692
1283;1221190;330689
1284;1221192;330685
1285;1221195;330682
1286;1221197;330678
1287;1221199;330674
1288;1221201;330671
1289;1221204;330667
1290;1221206;330664
1291;1221208;330660
1292;1221210;330657
1293;1221213;330653
1294;1221215;330649
1295;1221217;330646
1296;1221219;330642
1297;1221221;330638
1298;1221223;330635
1299;1221225;330631
1300;1221227;330627
1301;1221229;330624
1302;1221230;330620
1303;1221232;330616
1304;1221234;330612
1305;1221236;330608
1306;1221238;330605
1307;1221239;330601
1308;1221241;330597
1309;1221242;330593
1310;1221244;330589
1311;1221245;330585
1312;1221247;330581
1313;1221248;330577
1314;1221250;330573
1315;1221251;330569
1316;1221253;330565
1317;1221254;330561
1318;1221255;330557
1319;1221256;330553
1320;1221258;330549
1321;1221259;330545
1322;1221260;330541
1323;1221261;330537
1324;1221262;330533
1325;1221263;330529
1326;1221264;330525
1327;1221265;330521
1328;1221266;330517
1329;1221267;330513
1330;1221267;330508
1331;1221268;330504
1332;1221269;330500
1333;1221269;330496
1334;1221270;330492
1335;1221271;330488
1336;1221271;330483
1337;1221272;330479
1338;1221272;330475
1339;1221272;330471
